dataid,devicename,sensor,sensorid,value,dbtimestamp
69159992,NDS016,Soil Moisture,9,25.1,2025-04-25 00:00:04.126458
69130069,NDS016,Soil Moisture,9,23.4,2025-04-24 00:06:06.963514
69130074,NDS016,Soil Phosphorus,13,204.0,2025-04-24 00:06:06.963514
69130072,NDS016,Soil pH,10,5.8,2025-04-24 00:06:06.963514
69130071,NDS016,Soil EC,11,512.0,2025-04-24 00:06:06.963514
69130073,NDS016,Soil Nitrogen,12,68.0,2025-04-24 00:06:06.963514
69130075,NDS016,Soil Potassium,14,197.0,2025-04-24 00:06:06.963514
69130070,NDS016,Soil Temperature,8,26.0,2025-04-24 00:06:06.963514
69097718,NDS016,Soil Potassium,14,209.0,2025-04-23 00:02:02.497716
69097713,NDS016,Soil Temperature,8,26.5,2025-04-23 00:02:02.497716
69097716,NDS016,Soil Nitrogen,12,73.0,2025-04-23 00:02:02.497716
69097712,NDS016,Soil Moisture,9,25.3,2025-04-23 00:02:02.497716
69097715,NDS016,Soil pH,10,5.6,2025-04-23 00:02:02.497716
69097717,NDS016,Soil Phosphorus,13,215.0,2025-04-23 00:02:02.497716
69097714,NDS016,Soil EC,11,536.0,2025-04-23 00:02:02.497716
69067559,NDS016,Soil EC,11,534.0,2025-04-22 00:01:36.046540
69067563,NDS016,Soil Potassium,14,208.0,2025-04-22 00:01:36.046540
69067557,NDS016,Soil Moisture,9,24.0,2025-04-22 00:01:36.046540
69067558,NDS016,Soil Temperature,8,25.6,2025-04-22 00:01:36.046540
69067561,NDS016,Soil Nitrogen,12,73.0,2025-04-22 00:01:36.046540
69067562,NDS016,Soil Phosphorus,13,214.0,2025-04-22 00:01:36.046540
69067560,NDS016,Soil pH,10,5.3,2025-04-22 00:01:36.046540
69044158,NDS016,Soil Potassium,14,217.0,2025-04-21 00:01:47.008167
69044153,NDS016,Soil Temperature,8,25.7,2025-04-21 00:01:47.008167
69044155,NDS016,Soil pH,10,5.4,2025-04-21 00:01:47.008167
69044156,NDS016,Soil Nitrogen,12,76.0,2025-04-21 00:01:47.008167
69044154,NDS016,Soil EC,11,552.0,2025-04-21 00:01:47.008167
69044152,NDS016,Soil Moisture,9,24.5,2025-04-21 00:01:47.008167
69044157,NDS016,Soil Phosphorus,13,223.0,2025-04-21 00:01:47.008167
69018742,NDS016,Soil Temperature,8,26.1,2025-04-20 00:01:56.057349
69018743,NDS016,Soil EC,11,590.0,2025-04-20 00:01:56.057349
69018745,NDS016,Soil Nitrogen,12,84.0,2025-04-20 00:01:56.057349
69018747,NDS016,Soil Potassium,14,235.0,2025-04-20 00:01:56.057349
69018746,NDS016,Soil Phosphorus,13,241.0,2025-04-20 00:01:56.057349
69018744,NDS016,Soil pH,10,5.4,2025-04-20 00:01:56.057349
69018741,NDS016,Soil Moisture,9,26.0,2025-04-20 00:01:56.057349
68994009,NDS016,Soil Nitrogen,12,88.0,2025-04-19 00:02:50.728044
68994011,NDS016,Soil Potassium,14,245.0,2025-04-19 00:02:50.728044
68994007,NDS016,Soil EC,11,610.0,2025-04-19 00:02:50.728044
68994005,NDS016,Soil Moisture,9,25.2,2025-04-19 00:02:50.728044
68994006,NDS016,Soil Temperature,8,26.9,2025-04-19 00:02:50.728044
68994010,NDS016,Soil Phosphorus,13,251.0,2025-04-19 00:02:50.728044
68994008,NDS016,Soil pH,10,5.2,2025-04-19 00:02:50.728044
68970571,NDS016,Soil pH,10,5.9,2025-04-18 00:03:24.571074
68970569,NDS016,Soil Temperature,8,26.5,2025-04-18 00:03:24.571074
68970573,NDS016,Soil Phosphorus,13,256.0,2025-04-18 00:03:24.571074
68970574,NDS016,Soil Potassium,14,250.0,2025-04-18 00:03:24.571074
68970572,NDS016,Soil Nitrogen,12,90.0,2025-04-18 00:03:24.571074
68970568,NDS016,Soil Moisture,9,25.2,2025-04-18 00:03:24.571074
68970570,NDS016,Soil EC,11,620.0,2025-04-18 00:03:24.571074
68942978,NDS016,Soil pH,10,5.0,2025-04-17 00:04:53.422642
68942979,NDS016,Soil Nitrogen,12,92.0,2025-04-17 00:04:53.422642
68942976,NDS016,Soil Temperature,8,25.7,2025-04-17 00:04:53.422642
68942981,NDS016,Soil Potassium,14,254.0,2025-04-17 00:04:53.422642
68942980,NDS016,Soil Phosphorus,13,260.0,2025-04-17 00:04:53.422642
68942975,NDS016,Soil Moisture,9,25.8,2025-04-17 00:04:53.422642
68942977,NDS016,Soil EC,11,628.0,2025-04-17 00:04:53.422642
68918023,NDS016,Soil EC,11,650.0,2025-04-16 00:00:51.104533
68918021,NDS016,Soil Moisture,9,26.3,2025-04-16 00:00:51.104533
68918026,NDS016,Soil Phosphorus,13,270.0,2025-04-16 00:00:51.104533
68918025,NDS016,Soil Nitrogen,12,97.0,2025-04-16 00:00:51.104533
68918027,NDS016,Soil Potassium,14,264.0,2025-04-16 00:00:51.104533
68918022,NDS016,Soil Temperature,8,26.1,2025-04-16 00:00:51.104533
68918024,NDS016,Soil pH,10,4.6,2025-04-16 00:00:51.104533
68893928,NDS016,Soil Nitrogen,12,104.0,2025-04-15 00:01:49.736647
68893924,NDS016,Soil Moisture,9,26.2,2025-04-15 00:01:49.736647
68893929,NDS016,Soil Phosphorus,13,288.0,2025-04-15 00:01:49.736647
68893926,NDS016,Soil EC,11,686.0,2025-04-15 00:01:49.736647
68893927,NDS016,Soil pH,10,3.0,2025-04-15 00:01:49.736647
68893930,NDS016,Soil Potassium,14,282.0,2025-04-15 00:01:49.736647
68893925,NDS016,Soil Temperature,8,26.8,2025-04-15 00:01:49.736647
68864402,NDS016,Soil EC,11,696.0,2025-04-14 00:00:24.277838
68864405,NDS016,Soil Phosphorus,13,292.0,2025-04-14 00:00:24.277838
68864406,NDS016,Soil Potassium,14,287.0,2025-04-14 00:00:24.277838
68864401,NDS016,Soil Temperature,8,25.8,2025-04-14 00:00:24.277838
68864403,NDS016,Soil pH,10,4.9,2025-04-14 00:00:24.277838
68864400,NDS016,Soil Moisture,9,26.7,2025-04-14 00:00:24.277838
68864404,NDS016,Soil Nitrogen,12,106.0,2025-04-14 00:00:24.277838
68840223,NDS016,Soil EC,11,710.0,2025-04-13 00:10:55.923201
68840224,NDS016,Soil pH,10,5.8,2025-04-13 00:10:55.923201
68840225,NDS016,Soil Nitrogen,12,109.0,2025-04-13 00:10:55.923201
68840227,NDS016,Soil Potassium,14,293.0,2025-04-13 00:10:55.923201
68840226,NDS016,Soil Phosphorus,13,299.0,2025-04-13 00:10:55.923201
68840222,NDS016,Soil Temperature,8,26.1,2025-04-13 00:10:55.923201
68840221,NDS016,Soil Moisture,9,28.1,2025-04-13 00:10:55.923201
68815507,NDS016,Soil Potassium,14,311.0,2025-04-12 00:01:00.392884
68815503,NDS016,Soil EC,11,746.0,2025-04-12 00:01:00.392884
68815505,NDS016,Soil Nitrogen,12,117.0,2025-04-12 00:01:00.392884
68815502,NDS016,Soil Temperature,8,26.9,2025-04-12 00:01:00.392884
68815504,NDS016,Soil pH,10,5.9,2025-04-12 00:01:00.392884
68815506,NDS016,Soil Phosphorus,13,317.0,2025-04-12 00:01:00.392884
68815501,NDS016,Soil Moisture,9,28.2,2025-04-12 00:01:00.392884
